date,hospital,blood_group,demand,units_collected,stock_on_hand,units_used,units_expired,units_expiring_soon,shortage,is_weekend,is_holiday,is_dengue_season,day_of_week,month,year,week_of_year
2021-01-01,Hospital_A,O_positive,51,57,361,51,0,0,0,0,0,0,4,1,2021,53
2021-01-02,Hospital_A,O_positive,35,41,367,35,0,0,0,1,0,0,5,1,2021,53
2021-01-03,Hospital_A,O_positive,36,51,382,36,0,0,0,1,0,0,6,1,2021,53
2021-01-04,Hospital_A,O_positive,53,53,382,53,0,0,0,0,0,0,0,1,2021,1
2021-01-05,Hospital_A,O_positive,48,50,384,48,0,0,0,0,0,0,1,1,2021,1
2021-01-06,Hospital_A,O_positive,39,41,386,39,0,0,0,0,0,0,2,1,2021,1
2021-01-07,Hospital_A,O_positive,52,49,383,52,0,0,0,0,0,0,3,1,2021,1
2021-01-08,Hospital_A,O_positive,55,61,389,55,0,0,0,0,0,0,4,1,2021,1
2021-01-09,Hospital_A,O_positive,31,34,392,31,0,0,0,1,0,0,5,1,2021,1
2021-01-10,Hospital_A,O_positive,35,53,410,35,0,0,0,1,0,0,6,1,2021,1
2021-01-11,Hospital_A,O_positive,50,60,420,50,0,0,0,0,0,0,0,1,2021,2
2021-01-12,Hospital_A,O_positive,38,39,421,38,0,0,0,0,0,0,1,1,2021,2
2021-01-13,Hospital_A,O_positive,39,41,423,39,0,0,0,0,0,0,2,1,2021,2
2021-01-14,Hospital_A,O_positive,52,38,409,52,0,0,0,0,0,0,3,1,2021,2
2021-01-15,Hospital_A,O_positive,52,57,414,52,0,0,0,0,0,0,4,1,2021,2
2021-01-16,Hospital_A,O_positive,28,33,419,28,0,0,0,1,0,0,5,1,2021,2
2021-01-17,Hospital_A,O_positive,26,32,425,26,0,0,0,1,0,0,6,1,2021,2
2021-01-18,Hospital_A,O_positive,58,56,423,58,0,0,0,0,0,0,0,1,2021,3
2021-01-19,Hospital_A,O_positive,44,49,428,44,0,0,0,0,0,0,1,1,2021,3
2021-01-20,Hospital_A,O_positive,35,41,434,35,0,0,0,0,0,0,2,1,2021,3
2021-01-21,Hospital_A,O_positive,46,47,435,46,0,0,0,0,0,0,3,1,2021,3
2021-01-22,Hospital_A,O_positive,46,44,433,46,0,0,0,0,0,0,4,1,2021,3
2021-01-23,Hospital_A,O_positive,26,30,437,26,0,0,0,1,0,0,5,1,2021,3
2021-01-24,Hospital_A,O_positive,27,27,437,27,0,0,0,1,0,0,6,1,2021,3
2021-01-25,Hospital_A,O_positive,49,63,451,49,0,0,0,0,0,0,0,1,2021,4
2021-01-26,Hospital_A,O_positive,29,28,450,29,0,0,0,0,1,0,1,1,2021,4
2021-01-27,Hospital_A,O_positive,64,82,468,64,0,0,0,0,0,0,2,1,2021,4
2021-01-28,Hospital_A,O_positive,45,56,479,45,0,0,0,0,0,0,3,1,2021,4
2021-01-29,Hospital_A,O_positive,44,49,484,44,0,0,0,0,0,0,4,1,2021,4
2021-01-30,Hospital_A,O_positive,34,39,489,34,0,0,0,1,0,0,5,1,2021,4
2021-01-31,Hospital_A,O_positive,40,43,492,40,0,0,0,1,0,0,6,1,2021,4
2021-02-01,Hospital_A,O_positive,59,70,503,59,0,0,0,0,0,0,0,2,2021,5
2021-02-02,Hospital_A,O_positive,44,56,515,44,0,0,0,0,0,0,1,2,2021,5
2021-02-03,Hospital_A,O_positive,46,35,504,46,0,0,0,0,0,0,2,2,2021,5
2021-02-04,Hospital_A,O_positive,50,67,521,50,0,0,0,0,0,0,3,2,2021,5
2021-02-05,Hospital_A,O_positive,47,56,530,47,0,0,0,0,0,0,4,2,2021,5
2021-02-06,Hospital_A,O_positive,34,40,536,34,0,0,0,1,0,0,5,2,2021,5
2021-02-07,Hospital_A,O_positive,24,30,542,24,0,0,0,1,0,0,6,2,2021,5
2021-02-08,Hospital_A,O_positive,56,52,538,56,0,0,0,0,0,0,0,2,2021,6
2021-02-09,Hospital_A,O_positive,45,56,549,45,0,0,0,0,0,0,1,2,2021,6
2021-02-10,Hospital_A,O_positive,45,42,546,45,0,0,0,0,0,0,2,2,2021,6
2021-02-11,Hospital_A,O_positive,46,45,545,46,0,0,0,0,0,0,3,2,2021,6
2021-02-12,Hospital_A,O_positive,42,50,553,42,0,0,0,0,0,0,4,2,2021,6
2021-02-13,Hospital_A,O_positive,40,55,568,40,0,0,0,1,0,0,5,2,2021,6
2021-02-14,Hospital_A,O_positive,23,25,570,23,0,0,0,1,0,0,6,2,2021,6
2021-02-15,Hospital_A,O_positive,57,62,575,57,0,0,0,0,0,0,0,2,2021,7
2021-02-16,Hospital_A,O_positive,39,34,570,39,0,0,0,0,0,0,1,2,2021,7
2021-02-17,Hospital_A,O_positive,42,44,572,42,0,0,0,0,0,0,2,2,2021,7
2021-02-18,Hospital_A,O_positive,41,47,578,41,0,0,0,0,0,0,3,2,2021,7
2021-02-19,Hospital_A,O_positive,70,72,580,70,0,0,0,0,0,0,4,2,2021,7
2021-02-20,Hospital_A,O_positive,36,38,582,36,0,0,0,1,0,0,5,2,2021,7
2021-02-21,Hospital_A,O_positive,23,29,588,23,0,0,0,1,0,0,6,2,2021,7
2021-02-22,Hospital_A,O_positive,68,73,593,68,0,0,0,0,0,0,0,2,2021,8
2021-02-23,Hospital_A,O_positive,52,56,597,52,0,0,0,0,0,0,1,2,2021,8
2021-02-24,Hospital_A,O_positive,47,49,599,47,0,0,0,0,0,0,2,2,2021,8
2021-02-25,Hospital_A,O_positive,41,43,601,41,0,0,0,0,0,0,3,2,2021,8
2021-02-26,Hospital_A,O_positive,54,59,606,54,0,0,0,0,0,0,4,2,2021,8
2021-02-27,Hospital_A,O_positive,34,47,619,34,0,0,0,1,0,0,5,2,2021,8
2021-02-28,Hospital_A,O_positive,35,47,631,35,0,0,0,1,0,0,6,2,2021,8
2021-03-01,Hospital_A,O_positive,61,62,632,61,0,0,0,0,0,0,0,3,2021,9
2021-03-02,Hospital_A,O_positive,36,39,635,36,0,0,0,0,0,0,1,3,2021,9
2021-03-03,Hospital_A,O_positive,43,38,630,43,0,0,0,0,0,0,2,3,2021,9
2021-03-04,Hospital_A,O_positive,54,77,653,54,0,0,0,0,0,0,3,3,2021,9
2021-03-05,Hospital_A,O_positive,35,38,656,35,0,0,0,0,0,0,4,3,2021,9
