hospital,blood_group,model,MAE,RMSE,MAPE
Hospital_A,O_positive,Prophet,6.179,6.912,13.695
Hospital_A,O_positive,LSTM,10.762,16.487,22.134
Hospital_A,O_positive,Hybrid,6.301,7.521,13.65
Hospital_A,O_positive,MovingAverage,10.439,12.348,20.802
Hospital_A,O_negative,Prophet,2.925,3.398,17.039
Hospital_A,O_negative,LSTM,4.499,6.697,25.802
Hospital_A,O_negative,Hybrid,2.911,3.457,16.764
Hospital_A,O_negative,MovingAverage,2.541,3.059,15.011
Hospital_B,O_positive,Prophet,4.731,5.494,15.324
Hospital_B,O_positive,LSTM,9.238,12.928,26.435
Hospital_B,O_positive,Hybrid,5.035,5.621,16.068
Hospital_B,O_positive,MovingAverage,6.01,6.844,18.293
Hospital_B,O_negative,Prophet,3.908,4.373,47.375
Hospital_B,O_negative,LSTM,5.401,6.874,52.742
Hospital_B,O_negative,Hybrid,4.276,4.635,48.699
Hospital_B,O_negative,MovingAverage,3.837,4.319,46.852
Hospital_C,O_positive,Prophet,3.996,4.707,21.911
Hospital_C,O_positive,LSTM,10.347,12.888,49.382
Hospital_C,O_positive,Hybrid,3.996,4.707,21.911
Hospital_C,O_positive,MovingAverage,4.755,5.776,25.541
Hospital_C,O_negative,Prophet,1.682,2.4,29.164
Hospital_C,O_negative,LSTM,2.09,2.761,34.641
Hospital_C,O_negative,Hybrid,1.682,2.4,29.164
Hospital_C,O_negative,MovingAverage,1.786,2.468,27.143
