date,donor_hospital,recipient_hospital,blood_group,transfer_qty,priority_score,expiry_urgency,transport_score,shortage_severity,distance_km,transit_hr,donor_dos,recipient_dos,status
2021-01-01,Hospital_C,Hospital_A,O_negative,14,10.681392,1.0,0.011364,9.670028,44,1.2,12.1,6.7,APPROVED_SIM
2021-01-02,Hospital_C,Hospital_A,O_negative,16,13.951794,1.0,0.011364,12.94043,44,1.2,12.3,6.6,APPROVED_SIM
2021-01-03,Hospital_C,Hospital_A,O_negative,14,21.320451,1.0,0.011364,20.309087,44,1.2,12.0,6.4,APPROVED_SIM
2021-01-04,Hospital_C,Hospital_A,O_negative,13,17.317708,1.0,0.011364,16.306345,44,1.2,11.9,6.5,APPROVED_SIM
2021-01-05,Hospital_C,Hospital_A,O_negative,14,9.694582,1.0,0.011364,8.683218,44,1.2,12.2,6.7,APPROVED_SIM
2021-01-06,Hospital_C,Hospital_A,O_negative,15,1.011364,1.0,0.011364,0.0,44,1.2,12.3,7.4,APPROVED_SIM
2021-01-07,Hospital_C,Hospital_A,O_negative,23,1.011364,1.0,0.011364,0.0,44,1.2,13.4,7.1,APPROVED_SIM
2021-01-08,Hospital_C,Hospital_A,O_negative,26,3.889511,1.0,0.011364,2.878147,44,1.2,13.9,6.9,APPROVED_SIM
2021-01-09,Hospital_C,Hospital_A,O_negative,28,1.011364,1.0,0.011364,0.0,44,1.2,14.1,7.3,APPROVED_SIM
2021-01-10,Hospital_C,Hospital_A,O_negative,27,1.011364,1.0,0.011364,0.0,44,1.2,14.0,7.1,APPROVED_SIM
2021-01-11,Hospital_C,Hospital_A,O_negative,24,2.363152,1.0,0.011364,1.351788,44,1.2,13.6,7.0,APPROVED_SIM
2021-01-12,Hospital_C,Hospital_A,O_negative,24,1.011364,1.0,0.011364,0.0,44,1.2,13.5,7.4,APPROVED_SIM
2021-01-13,Hospital_C,Hospital_A,O_negative,25,1.011364,1.0,0.011364,0.0,44,1.2,13.7,7.4,APPROVED_SIM
2021-01-14,Hospital_C,Hospital_A,O_negative,26,1.011364,1.0,0.011364,0.0,44,1.2,13.8,7.1,APPROVED_SIM
2021-01-15,Hospital_C,Hospital_A,O_negative,27,1.011364,1.0,0.011364,0.0,44,1.2,14.0,7.2,APPROVED_SIM
2021-01-16,Hospital_C,Hospital_A,O_negative,31,1.011364,1.0,0.011364,0.0,44,1.2,14.5,7.1,APPROVED_SIM
2021-01-17,Hospital_C,Hospital_A,O_negative,24,1.011364,1.0,0.011364,0.0,44,1.2,13.5,7.1,APPROVED_SIM
2021-01-18,Hospital_C,Hospital_A,O_negative,22,1.011364,1.0,0.011364,0.0,44,1.2,13.1,7.6,APPROVED_SIM
2021-01-20,Hospital_C,Hospital_A,O_negative,12,1.011364,1.0,0.011364,0.0,44,1.2,13.2,8.2,APPROVED_SIM
2021-01-21,Hospital_C,Hospital_A,O_negative,14,1.011364,1.0,0.011364,0.0,44,1.2,13.9,8.1,APPROVED_SIM
